Date,Close/Last,Volume,Open,High,Low,AdjClose
"Jul 09, 2020",281.71,58588000,279.4,270.26,278.86,278.86
"Jul 08, 2020",283.45,81556500,281,262.27,273.18,273.18
"Jul 07, 2020",285.9,107448500,281,267.34,277.97,277.97
"Jul 06, 2020",275.56,102849500,255.34,253.21,274.32,274.32
"Jul 02, 2020",245.6,86250500,244.3,237.12,241.73,241.73
"Jul 01, 2020",227.07,66634500,216.6,216.1,223.93,223.93
"Jun 30, 2020",217.54,84592500,201.3,200.75,215.96,215.96
"Jun 29, 2020",202,45132000,193.8,189.7,201.87,201.87
"Jun 26, 2020",199,44274500,198.96,190.97,191.95,191.95
"Jun 25, 2020",197.2,46272500,190.85,187.43,197.2,197.2
"Jun 24, 2020",200.18,54798000,198.82,190.63,192.17,192.17
"Jun 23, 2020",202.4,31826500,199.78,198.8,200.36,200.36
"Jun 22, 2020",201.78,31812000,199.99,198,198.86,198.86
"Jun 19, 2020",203.19,43398500,202.56,198.27,200.18,200.18
"Jun 18, 2020",203.84,48759500,200.6,198.89,200.79,200.79
"Jun 17, 2020",201,49454000,197.54,196.51,198.36,198.36
"Jun 16, 2020",202.58,70255500,202.37,192.48,196.43,196.43
"Jun 15, 2020",199.77,78486000,183.56,181.7,198.18,198.18
"Jun 12, 2020",197.6,83817000,196,182.52,187.06,187.06
"Jun 11, 2020",203.79,79582500,198.04,194.4,194.57,194.57
"Jun 10, 2020",205.5,92817000,198.38,196.5,205.01,205.01
"Jun 09, 2020",190.89,56941000,188,184.79,188.13,188.13
"Jun 08, 2020",190,70873500,183.8,181.83,189.98,189.98
"Jun 05, 2020",177.3,39059500,175.57,173.24,177.13,177.13
"Jun 04, 2020",179.15,44438500,177.98,171.69,172.88,172.88
"Jun 03, 2020",179.59,39747500,177.62,176.02,176.59,176.59
"Jun 02, 2020",181.73,67828000,178.94,174.2,176.31,176.31
"Jun 01, 2020",179.8,74697500,171.6,170.82,179.62,179.62
"May 29, 2020",167,58822500,161.75,160.84,167,167
"May 28, 2020",164.95,36278000,162.7,160.34,161.16,161.16
"May 27, 2020",165.54,57747500,164.17,157,164.05,164.05
"May 26, 2020",166.92,40448500,166.9,163.14,163.77,163.77
"May 22, 2020",166.36,49937500,164.43,162.4,163.38,163.38
"May 21, 2020",166.5,61273000,163.2,159.2,165.52,165.52
"May 20, 2020",165.2,36546500,164.1,162.36,163.11,163.11
